"","Gender","Gene","UAS","Driver","Age"
"651","male","Tsc1","31039","Hand-Gal4",70
"652","male","Tsc1","31039","Hand-Gal4",70
"653","male","Tsc1","31039","Hand-Gal4",70
"654","male","Tsc1","31039","Hand-Gal4",70
"655","male","Tsc1","31039","Hand-Gal4",70
"656","male","Tsc1","31039","Hand-Gal4",70
"657","male","Tsc1","31039","Hand-Gal4",80
"658","male","Tsc1","31039","Hand-Gal4",80
"659","male","Tsc1","31039","Hand-Gal4",80
"660","male","Tsc1","31039","Hand-Gal4",80
"661","female","Tsc1","31039","Hand-Gal4",5
"662","female","Tsc1","31039","Hand-Gal4",5
"663","female","Tsc1","31039","Hand-Gal4",5
"664","female","Tsc1","31039","Hand-Gal4",5
"665","male","Tsc1","31039","Hand-Gal4",86
"666","male","Tsc1","31039","Hand-Gal4",86
"667","male","Tsc1","31039","Hand-Gal4",86
"668","male","Tsc1","31039","Hand-Gal4",86
"669","male","Tsc1","31039","Hand-Gal4",66
"670","male","Tsc1","31039","Hand-Gal4",66
"671","male","Tsc1","31039","Hand-Gal4",66
"672","male","Tsc1","31039","Hand-Gal4",66
"673","male","Tsc1","31039","Hand-Gal4",80
"674","male","Tsc1","31039","Hand-Gal4",80
"675","male","Tsc1","31039","Hand-Gal4",80
"676","male","Tsc1","31039","Hand-Gal4",80
"677","female","Tsc1","31039","Hand-Gal4",81
"678","female","Tsc1","31039","Hand-Gal4",81
"679","female","Tsc1","31039","Hand-Gal4",81
"680","female","Tsc1","31039","Hand-Gal4",81
"681","male","Tsc1","31039","24B-Gal4",45
"682","male","Tsc1","31039","24B-Gal4",45
"683","female","Tsc1","31039","24B-Gal4",45
"684","female","Tsc1","31039","24B-Gal4",45
"685","female","Tsc1","31039","24B-Gal4",45
"686","female","Tsc1","31039","24B-Gal4",45
"687","female","Tsc1","31039","24B-Gal4",64
"688","female","Tsc1","31039","24B-Gal4",64
"689","female","Tsc1","31039","24B-Gal4",64
"690","female","Tsc1","31039","24B-Gal4",64
"691","female","Tsc1","31039","24B-Gal4",43
"692","female","Tsc1","31039","24B-Gal4",43
"693","female","Tsc1","31039","24B-Gal4",5
"694","female","Tsc1","31039","24B-Gal4",5
"695","female","Tsc1","31039","24B-Gal4",64
"696","female","Tsc1","31039","24B-Gal4",64
"697","male","Tsc1","31039","24B-Gal4",51
"698","male","Tsc1","31039","24B-Gal4",51
"699","male","Tsc1","31039","24B-Gal4",46
"700","male","Tsc1","31039","24B-Gal4",46
"701","female","Tsc1","31039","24B-Gal4",51
"702","female","Tsc1","31039","24B-Gal4",51
"703","female","Tsc1","31039","24B-Gal4",51
"704","female","Tsc1","31039","24B-Gal4",51
"705","male","Tsc1","31039","24B-Gal4",43
"706","male","Tsc1","31039","24B-Gal4",43
"707","female","Tsc1","31039","24B-Gal4",46
"708","female","Tsc1","31039","24B-Gal4",46
"709","female","Tsc1","31039","24B-Gal4",53
"710","female","Tsc1","31039","24B-Gal4",53
"711","female","Tsc1","31039","24B-Gal4",58
"712","female","Tsc1","31039","24B-Gal4",58
"713","female","Tsc1","31039","24B-Gal4",58
"714","female","Tsc1","31039","24B-Gal4",58
"715","male","Tsc1","31039","24B-Gal4",43
"716","male","Tsc1","31039","24B-Gal4",43
"717","male","Tsc1","31039","24B-Gal4",46
"718","male","Tsc1","31039","24B-Gal4",46
"719","female","Tsc1","31039","24B-Gal4",64
"720","female","Tsc1","31039","24B-Gal4",64
"721","female","Tsc1","31039","24B-Gal4",64
"722","female","Tsc1","31039","24B-Gal4",64
"723","male","Tsc1","31039","24B-Gal4",23
"724","male","Tsc1","31039","24B-Gal4",23
"725","female","Tsc1","31039","Hand-Gal4",77
"726","female","Tsc1","31039","Hand-Gal4",77
"727","female","Tsc1","31039","24B-Gal4",74
"728","female","Tsc1","31039","24B-Gal4",74
"729","female","Tsc1","31039","24B-Gal4",74
"730","male","Tsc1","31039","24B-Gal4",39
"731","male","Tsc1","31039","24B-Gal4",39
"732","male","Tsc1","31039","24B-Gal4",39
"733","male","Tsc1","31039","24B-Gal4",39
"734","male","Tsc1","31039","24B-Gal4",8
"735","male","Tsc1","31039","24B-Gal4",8
"736","male","Tsc1","31039","24B-Gal4",8
"737","male","Tsc1","31039","24B-Gal4",8
"738","female","Tsc1","31039","24B-Gal4",60
"739","female","Tsc1","31039","24B-Gal4",60
"740","female","Tsc1","31039","24B-Gal4",60
"741","female","Tsc1","31039","24B-Gal4",60
"742","male","Tsc1","31039","24B-Gal4",33
"743","male","Tsc1","31039","24B-Gal4",33
"744","male","Tsc1","31039","24B-Gal4",33
"745","male","Tsc1","31039","24B-Gal4",33
"746","male","Tsc1","31039","24B-Gal4",63
"747","male","Tsc1","31039","24B-Gal4",63
"748","male","Tsc1","31039","24B-Gal4",63
"749","male","Tsc1","31039","24B-Gal4",63
"750","male","Tsc1","31039","24B-Gal4",63
"751","male","Tsc1","31039","24B-Gal4",63
"752","female","Tsc1","31039","24B-Gal4",7
"753","female","Tsc1","31039","24B-Gal4",7
"754","female","Tsc1","31039","24B-Gal4",7
"755","female","Tsc1","31039","24B-Gal4",7
"756","female","Tsc1","31039","24B-Gal4",7
"757","female","Tsc1","31039","24B-Gal4",7
"758","male","Tsc1","31039","24B-Gal4",67
"759","male","Tsc1","31039","24B-Gal4",67
"760","male","Tsc1","31039","24B-Gal4",67
"761","male","Tsc1","31039","24B-Gal4",67
"762","male","Tsc1","31039","24B-Gal4",67
"763","male","Tsc1","31039","24B-Gal4",67
"764","female","Tsc1","31039","24B-Gal4",48
"765","female","Tsc1","31039","24B-Gal4",48
